Node1	Node2	Net
MOL004910	PTGS1	target
MOL004910	ESR1	target
MOL004910	PTGS2	target
MOL004910	HSP90AA1	target
MOL004911	NOS2	target
MOL004911	PTGS1	target
MOL004911	ESR1	target
MOL004911	AR	target
MOL004911	PPARG	target
MOL004911	PTGS2	target
MOL004911	RXRA	target
MOL004911	ADRB2	target
MOL004911	ESR2	target
MOL004911	MAPK14	target
MOL004911	GSK3B	target
MOL004911	HSP90AA1	target
MOL004911	CDK2	target
MOL004912	NOS2	target
MOL004912	PTGS1	target
MOL004912	ESR1	target
MOL004912	AR	target
MOL004912	PPARG	target
MOL004912	PTGS2	target
MOL004912	RXRA	target
MOL004912	ESR2	target
MOL004912	DPP4	target
MOL004912	MAPK14	target
MOL004912	GSK3B	target
MOL004912	CDK2	target
MOL004912	CCNA2	target
MOL004913	ESR1	target
MOL004913	PPARG	target
MOL004913	ESR2	target
MOL004913	MAPK14	target
MOL004913	GSK3B	target
MOL004913	HSP90AA1	target
MOL004913	CDK2	target
MOL004913	CCNA2	target
MOL004914	ESR1	target
MOL004914	AR	target
MOL004914	PPARG	target
MOL004914	MAPK14	target
MOL004914	GSK3B	target
MOL004914	HSP90AA1	target
MOL004914	CDK2	target
MOL004915	NOS2	target
MOL004915	ESR1	target
MOL004915	AR	target
MOL004915	PPARG	target
MOL004915	PTGS2	target
MOL004915	ESR2	target
MOL004915	DPP4	target
MOL004915	MAPK14	target
MOL004915	GSK3B	target
MOL004915	HSP90AA1	target
MOL004915	CDK2	target
MOL004915	CCNA2	target
MOL004924	PTGS2	target
MOL004935	ESR1	target
MOL004935	PTGS2	target
MOL004935	KDR	target
MOL004935	HSP90AA1	target
MOL004941	PTGS1	target
MOL004941	ESR1	target
MOL004941	PTGS2	target
MOL004941	RXRA	target
MOL004941	ADRB2	target
MOL004941	HSP90AA1	target
MOL004941	SLC6A4	target
MOL004945	NOS2	target
MOL004945	PTGS1	target
MOL004945	ESR1	target
MOL004945	PTGS2	target
MOL004945	ADRB2	target
MOL004945	ESR2	target
MOL004945	HSP90AA1	target
MOL004948	NOS2	target
MOL004948	ESR1	target
MOL004948	AR	target
MOL004948	PTGS2	target
MOL004948	DPP4	target
MOL004948	GSK3B	target
MOL004949	NOS2	target
MOL004949	ESR1	target
MOL004949	AR	target
MOL004949	PPARG	target
MOL004949	PTGS2	target
MOL004949	GSK3B	target
MOL004949	HSP90AA1	target
MOL004949	CDK2	target
MOL004949	CCNA2	target
MOL004957	NOS2	target
MOL004957	PTGS1	target
MOL004957	ESR1	target
MOL004957	AR	target
MOL004957	PPARG	target
MOL004957	PTGS2	target
MOL004957	RXRA	target
MOL004957	ADRB2	target
MOL004957	SLC6A4	target
MOL004957	ESR2	target
MOL004957	DPP4	target
MOL004957	MAPK14	target
MOL004957	GSK3B	target
MOL004957	CDK2	target
MOL004957	CCNA2	target
MOL004959	NOS2	target
MOL004959	PTGS1	target
MOL004959	ESR1	target
MOL004959	AR	target
MOL004959	PPARG	target
MOL004959	PTGS2	target
MOL004959	KDR	target
MOL004959	RXRA	target
MOL004959	ADRB2	target
MOL004959	ESR2	target
MOL004959	MAPK14	target
MOL004959	GSK3B	target
MOL004959	HSP90AA1	target
MOL004959	CDK2	target
MOL004959	CCNA2	target
MOL004961	NOS2	target
MOL004961	PTGS1	target
MOL004961	ESR1	target
MOL004961	AR	target
MOL004961	PPARG	target
MOL004961	PTGS2	target
MOL004961	ESR2	target
MOL004961	DPP4	target
MOL004961	MAPK14	target
MOL004961	GSK3B	target
MOL004961	HSP90AA1	target
MOL004961	CDK2	target
MOL004966	NOS2	target
MOL004966	PTGS1	target
MOL004966	ESR1	target
MOL004966	AR	target
MOL004966	PPARG	target
MOL004966	PTGS2	target
MOL004966	F7	target
MOL004966	KDR	target
MOL004966	ADRB2	target
MOL004966	ESR2	target
MOL004966	MAPK14	target
MOL004966	GSK3B	target
MOL004966	HSP90AA1	target
MOL004966	CDK2	target
MOL004966	CCNA2	target
