category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	9/144	100/9423	0.09	5.889375	6.12318969683686	2.06716064519191e-05	4.76345713892048e-05	1.47586755446196e-05	TNF/IL10/IL6/CCL2/CXCL8/IL2RA/CXCL11/CXCL2/CXCL10	9
Organismal Systems	Endocrine system	hsa03320	PPAR signaling pathway	8/144	77/9423	0.103896103896104	6.7987012987013	6.36451656154892	2.11625976925935e-05	4.79517797357669e-05	1.48569565814888e-05	RXRA/PPARG/PPARD/OLR1/MMP1/PPARA/ADIPOQ/RXRB	8
Organismal Systems	Excretory system	hsa04960	Aldosterone-regulated sodium reabsorption	6/144	38/9423	0.157894736842105	10.3322368421053	7.18063118159757	2.11711631286216e-05	4.79517797357669e-05	1.48569565814888e-05	PRKCA/NR3C2/INSR/MAPK3/MAPK1/PRKCB	6
Organismal Systems	Endocrine system	hsa04929	GnRH secretion	7/144	65/9423	0.107692307692308	7.04711538461538	6.09418483273036	5.58442225740554e-05	0.00012541287272987	3.8856818561787e-05	PRKCA/ESR2/AKT1/MAPK3/MAPK1/PRKCB/SPP1	7
Organismal Systems	Aging	hsa04211	Longevity regulating pathway	8/144	90/9423	0.0888888888888889	5.81666666666667	5.71951789079788	6.59728272957628e-05	0.000145689993611476	4.51393028865746e-05	BAX/PPARG/RELA/AKT1/INSR/CAT/ADIPOQ/TP53	8
Cellular Processes	Cellular community - eukaryotes	hsa04540	Gap junction	8/144	90/9423	0.0888888888888889	5.81666666666667	5.71951789079788	6.59728272957628e-05	0.000145689993611476	4.51393028865746e-05	PRKCA/MAPK3/MAPK1/EGFR/EGF/GJA1/PRKCB/DRD2	8
Organismal Systems	Immune system	hsa04670	Leukocyte transendothelial migration	9/144	116/9423	0.0775862068965517	5.0770474137931	5.50391994445674	6.73706908345458e-05	0.000147547380753344	4.57147793396657e-05	PRKCA/MAPK14/NCF1/ICAM1/VCAM1/MMP2/MMP9/PRKCB/CTNNB1	9
Organismal Systems	Endocrine system	hsa04912	GnRH signaling pathway	8/144	93/9423	0.0860215053763441	5.62903225806452	5.58847185788446	8.3403272692325e-05	0.000181162846421853	5.61298987920738e-05	PRKCA/MAPK14/MAPK8/MAPK3/MAPK1/EGFR/MMP2/PRKCB	8
Human Diseases	Cancer: specific types	hsa05211	Renal cell carcinoma	7/144	70/9423	0.1	6.54375	5.79935105152606	9.02358227920597e-05	0.000192842685805611	5.97486772307356e-05	AKT1/MAPK3/MAPK1/BAD/CDKN1A/HIF1A/MET	7
Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	7/144	70/9423	0.1	6.54375	5.79935105152606	9.02358227920597e-05	0.000192842685805611	5.97486772307356e-05	CASP9/CASP3/CASP8/ICAM1/CCND1/CAV1/CD40LG	7
Environmental Information Processing	Signal transduction	hsa04152	AMPK signaling pathway	9/144	122/9423	0.0737704918032787	4.82735655737705	5.30049250646872	9.97474896397414e-05	0.000211464678036252	6.55183510896827e-05	PPARG/CCNA2/AKT1/SLC2A4/INSR/HMGCR/SREBF1/ADIPOQ/CCND1	9
Organismal Systems	Endocrine system	hsa04921	Oxytocin signaling pathway	10/144	154/9423	0.0649350649350649	4.24918831168831	5.064318490381	0.000119581115705446	0.000251499965570978	7.79225315373835e-05	PTGS2/PRKCA/MAPK3/MAPK1/CCND1/EGFR/FOS/CDKN1A/PRKCB/NOS3	10
Environmental Information Processing	Signal transduction	hsa04150	mTOR signaling pathway	10/144	158/9423	0.0632911392405063	4.14161392405063	4.96090434788458	0.000147860588433155	0.000308527999486505	9.55915946770502e-05	PRKCA/GSK3B/IKBKB/AKT1/TNF/INSR/MAPK3/MAPK1/PRKCB/CHUK	10
Environmental Information Processing	Signal transduction	hsa04024	cAMP signaling pathway	12/144	226/9423	0.0530973451327434	3.47455752212389	4.69062688649687	0.000172282976055405	0.000356679598864706	0.000110510461614487	ADRB2/RELA/AKT1/MAPK8/MAPK3/MAPK1/BAD/PPARA/FOS/NFKBIA/PTGER3/DRD2	12
