ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1905475	regulation of protein localization to membrane	6/149	177/18860	0.0338983050847458	4.29075190535775	3.92520580798891	0.00285154527092593	0.00762063546342045	0.00322375469564138	AR/AKT1/TNF/EGFR/BCL2L1/IFNG	6
BP	GO:0006874	intracellular calcium ion homeostasis	8/149	304/18860	0.0263157894736842	3.33097845284352	3.65625800234289	0.00291377275229693	0.0077819281288033	0.00329198627421464	BCL2/BAX/GSTM2/CAV1/PRKCB/CXCL11/CXCL10/DRD2	8
BP	GO:0044774	mitotic DNA integrity checkpoint signaling	4/149	75/18860	0.0533333333333333	6.75078299776286	4.45303365197723	0.00294467899111632	0.00785339961996559	0.00332222083356928	CDK2/CCND1/CDKN1A/TP53	4
BP	GO:0018212	peptidyl-tyrosine modification	5/149	123/18860	0.040650406504065	5.14541387024608	4.11599073579474	0.00294620674401791	0.00785339961996559	0.00332222083356928	KDR/MAPK3/EGFR/IL6/IFNG	5
BP	GO:1901796	regulation of signal transduction by p53 class mediator	5/149	123/18860	0.040650406504065	5.14541387024608	4.11599073579474	0.00294620674401791	0.00785339961996559	0.00332222083356928	BCL2/AKT1/TP53/MYC/MDM2	5
BP	GO:0030509	BMP signaling pathway	6/149	179/18860	0.0335195530726257	4.24281054328672	3.8900214556216	0.00301452385511963	0.0080303512317587	0.00339707661064425	PPARG/KDR/MAPK3/CAV1/RUNX2/XIAP	6
BP	GO:0007616	long-term memory	3/149	37/18860	0.0810810810810811	10.2630146925449	5.0328357704653	0.00308417458126612	0.00816873535459068	0.00345561719665222	SLC2A4/LDLR/DRD2	3
BP	GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	3/149	37/18860	0.0810810810810811	10.2630146925449	5.0328357704653	0.00308417458126612	0.00816873535459068	0.00345561719665222	HIF1A/IL1B/PRKCB	3
BP	GO:0046677	response to antibiotic	3/149	37/18860	0.0810810810810811	10.2630146925449	5.0328357704653	0.00308417458126612	0.00816873535459068	0.00345561719665222	HSP90AA1/TP53/MDM2	3
BP	GO:0046825	regulation of protein export from nucleus	3/149	37/18860	0.0810810810810811	10.2630146925449	5.0328357704653	0.00308417458126612	0.00816873535459068	0.00345561719665222	GSK3B/IL1B/MDM2	3
BP	GO:0060218	hematopoietic stem cell differentiation	3/149	37/18860	0.0810810810810811	10.2630146925449	5.0328357704653	0.00308417458126612	0.00816873535459068	0.00345561719665222	BCL2/TP53/NFE2L2	3
BP	GO:0071676	negative regulation of mononuclear cell migration	3/149	37/18860	0.0810810810810811	10.2630146925449	5.0328357704653	0.00308417458126612	0.00816873535459068	0.00345561719665222	AKT1/CYP19A1/CCL2	3
BP	GO:0090050	positive regulation of cell migration involved in sprouting angiogenesis	3/149	37/18860	0.0810810810810811	10.2630146925449	5.0328357704653	0.00308417458126612	0.00816873535459068	0.00345561719665222	PTGS2/KDR/HMOX1	3
BP	GO:0090183	regulation of kidney development	3/149	37/18860	0.0810810810810811	10.2630146925449	5.0328357704653	0.00308417458126612	0.00816873535459068	0.00345561719665222	STAT1/ADIPOQ/MYC	3
BP	GO:1900101	regulation of endoplasmic reticulum unfolded protein response	3/149	37/18860	0.0810810810810811	10.2630146925449	5.0328357704653	0.00308417458126612	0.00816873535459068	0.00345561719665222	BAX/AKT1/HSPA5	3
BP	GO:0002028	regulation of sodium ion transport	4/149	76/18860	0.0526315789473684	6.66195690568704	4.41350152485075	0.00308946004019955	0.00817231053945779	0.00345712960582839	ADRB2/AKT1/NOS3/DRD2	4
BP	GO:0007405	neuroblast proliferation	4/149	76/18860	0.0526315789473684	6.66195690568704	4.41350152485075	0.00308946004019955	0.00817231053945779	0.00345712960582839	TP53/HIF1A/CTNNB1/DRD2	4
BP	GO:1904064	positive regulation of cation transmembrane transport	5/149	125/18860	0.04	5.06308724832215	4.06713203073444	0.00315807819864423	0.0083485033475299	0.00353166438643654	BAX/CAV1/IFNG/CXCL11/CXCL10	5
BP	GO:0014743	regulation of muscle hypertrophy	4/149	77/18860	0.051948051948052	6.57543798483396	4.37467543999756	0.00323902745258019	0.00843596580335362	0.00356866359785499	PRKCA/PPARG/PPARA/PARP1	4
BP	GO:0045685	regulation of glial cell differentiation	4/149	77/18860	0.051948051948052	6.57543798483396	4.37467543999756	0.00323902745258019	0.00843596580335362	0.00356866359785499	RELA/LDLR/IL6/CTNNB1	4
BP	GO:0050709	negative regulation of protein secretion	4/149	77/18860	0.051948051948052	6.57543798483396	4.37467543999756	0.00323902745258019	0.00843596580335362	0.00356866359785499	HMGCR/SREBF1/IL1B/DRD2	4
BP	GO:0070527	platelet aggregation	4/149	77/18860	0.051948051948052	6.57543798483396	4.37467543999756	0.00323902745258019	0.00843596580335362	0.00356866359785499	SLC6A4/PRKCA/IL6/HSPB1	4
BP	GO:0002841	negative regulation of T cell mediated immune response to tumor cell	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	AHR/MAPK3	2
BP	GO:0003337	mesenchymal to epithelial transition involved in metanephros morphogenesis	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	STAT1/CTNNB1	2
BP	GO:0007077	mitotic nuclear membrane disassembly	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	PRKCA/PRKCB	2
BP	GO:0019372	lipoxygenase pathway	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	PTGS2/ALOX5	2
BP	GO:0032782	bile acid secretion	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	TNF/CES1	2
BP	GO:0033234	negative regulation of protein sumoylation	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	RELA/CTNNB1	2
BP	GO:0033327	Leydig cell differentiation	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	AR/CCND1	2
BP	GO:0034115	negative regulation of heterotypic cell-cell adhesion	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	ADIPOQ/IL10	2
BP	GO:0034635	glutathione transport	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	ABCC1/GJA1	2
BP	GO:0035443	tripeptide transmembrane transport	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	ABCC1/GJA1	2
BP	GO:0042167	heme catabolic process	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	HMOX1/ABCC1	2
BP	GO:0046149	pigment catabolic process	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	HMOX1/ABCC1	2
BP	GO:0060020	Bergmann glial cell differentiation	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	MAPK3/MAPK1	2
BP	GO:0060729	intestinal epithelial structure maintenance	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	NR1I2/AHR	2
BP	GO:0060767	epithelial cell proliferation involved in prostate gland development	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	AR/CTNNB1	2
BP	GO:0062100	positive regulation of programmed necrotic cell death	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	TP53/PARP1	2
BP	GO:0070391	response to lipoteichoic acid	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	MAPK14/RELA	2
BP	GO:0070508	cholesterol import	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	LDLR/ADIPOQ	2
BP	GO:0070587	regulation of cell-cell adhesion involved in gastrulation	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	ADIPOQ/IL10	2
BP	GO:0071223	cellular response to lipoteichoic acid	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	MAPK14/RELA	2
BP	GO:0071236	cellular response to antibiotic	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	TP53/MDM2	2
BP	GO:0071362	cellular response to ether	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	AKT1/CDK4	2
BP	GO:0090091	positive regulation of extracellular matrix disassembly	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	STAT3/IL6	2
BP	GO:1900451	positive regulation of glutamate receptor signaling pathway	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	CCL2/IFNG	2
BP	GO:1901329	regulation of odontoblast differentiation	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	SERPINE1/CTNNB1	2
BP	GO:2000679	positive regulation of transcription regulatory region DNA binding	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	RB1/IFNG	2
BP	GO:2001280	positive regulation of unsaturated fatty acid biosynthetic process	2/149	11/18860	0.181818181818182	23.0140329469189	6.51712067236636	0.0032541336905785	0.00843596580335362	0.00356866359785499	PTGS2/IL1B	2
BP	GO:0006023	aminoglycan biosynthetic process	3/149	38/18860	0.0789473684210526	9.99293535853055	4.95181431008621	0.00332932375259621	0.00859868255256969	0.00363749760610309	HAS2/EGF/IL1B	3
BP	GO:0010804	negative regulation of tumor necrosis factor-mediated signaling pathway	3/149	38/18860	0.0789473684210526	9.99293535853055	4.95181431008621	0.00332932375259621	0.00859868255256969	0.00363749760610309	GSTP1/ADIPOQ/XIAP	3
BP	GO:0030224	monocyte differentiation	3/149	38/18860	0.0789473684210526	9.99293535853055	4.95181431008621	0.00332932375259621	0.00859868255256969	0.00363749760610309	RXRA/PPARG/MYC	3
BP	GO:0036314	response to sterol	3/149	38/18860	0.0789473684210526	9.99293535853055	4.95181431008621	0.00332932375259621	0.00859868255256969	0.00363749760610309	F7/AKT1/CES1	3
BP	GO:1901889	negative regulation of cell junction assembly	3/149	38/18860	0.0789473684210526	9.99293535853055	4.95181431008621	0.00332932375259621	0.00859868255256969	0.00363749760610309	IKBKB/TNF/IL1B	3
BP	GO:1902932	positive regulation of alcohol biosynthetic process	3/149	38/18860	0.0789473684210526	9.99293535853055	4.95181431008621	0.00332932375259621	0.00859868255256969	0.00363749760610309	AKT1/MAPK1/SREBF1	3
BP	GO:0043409	negative regulation of MAPK cascade	6/149	183/18860	0.0327868852459016	4.15007151501815	3.82117004092427	0.00336126961623969	0.00867579410580697	0.00367011807890094	PPARG/GSTP1/ADIPOQ/CAV1/MYC/IL1B	6
BP	GO:0021761	limbic system development	5/149	127/18860	0.0393700787401575	4.98335359086826	4.01930550759124	0.0033807264802685	0.00870437512247681	0.0036822086961648	BAX/CASP3/GSK3B/CTNNB1/DRD2	5
BP	GO:0042303	molting cycle	5/149	127/18860	0.0393700787401575	4.98335359086826	4.01930550759124	0.0033807264802685	0.00870437512247681	0.0036822086961648	BCL2/RELA/TNF/EGFR/CTNNB1	5
BP	GO:0042633	hair cycle	5/149	127/18860	0.0393700787401575	4.98335359086826	4.01930550759124	0.0033807264802685	0.00870437512247681	0.0036822086961648	BCL2/RELA/TNF/EGFR/CTNNB1	5
BP	GO:1903707	negative regulation of hemopoiesis	5/149	127/18860	0.0393700787401575	4.98335359086826	4.01930550759124	0.0033807264802685	0.00870437512247681	0.0036822086961648	IL4/ADIPOQ/MYC/IRF1/CTNNB1	5
BP	GO:0003170	heart valve development	4/149	78/18860	0.0512820512820513	6.49113749784891	4.33653311242428	0.0033934569771648	0.00872093244193404	0.00368921293309539	GSK3B/RB1/NOS3/MDM2	4
BP	GO:0072088	nephron epithelium morphogenesis	4/149	78/18860	0.0512820512820513	6.49113749784891	4.33653311242428	0.0033934569771648	0.00872093244193404	0.00368921293309539	BCL2/STAT1/MYC/CTNNB1	4
BP	GO:2000242	negative regulation of reproductive process	4/149	78/18860	0.0512820512820513	6.49113749784891	4.33653311242428	0.0033934569771648	0.00872093244193404	0.00368921293309539	SOD1/BCL2L1/GJA1/PLAT	4
BP	GO:0010717	regulation of epithelial to mesenchymal transition	5/149	128/18860	0.0390625	4.9444211409396	3.99576697546111	0.00349618706334139	0.00897383490361977	0.00379619817104728	GSK3B/IL6/IL1B/COL1A1/CTNNB1	5
BP	GO:0071774	response to fibroblast growth factor	5/149	128/18860	0.0390625	4.9444211409396	3.99576697546111	0.00349618706334139	0.00897383490361977	0.00379619817104728	CCL2/CXCL8/COL1A1/RUNX2/CTNNB1	5
BP	GO:0050766	positive regulation of phagocytosis	4/149	79/18860	0.0506329113924051	6.40897120040778	4.299053239584	0.00355282377365455	0.00911357451018367	0.00385531216685378	SOD1/STAT3/CCL2/IFNG	4
BP	GO:0034391	regulation of smooth muscle cell apoptotic process	3/149	39/18860	0.0769230769230769	9.73670624677336	4.87374334264607	0.00358608508552651	0.00916493006781021	0.00387703709003643	ESR1/PPARG/IFNG	3
BP	GO:0035883	enteroendocrine cell differentiation	3/149	39/18860	0.0769230769230769	9.73670624677336	4.87374334264607	0.00358608508552651	0.00916493006781021	0.00387703709003643	GSK3B/AKT1/BAD	3
BP	GO:0048384	retinoic acid receptor signaling pathway	3/149	39/18860	0.0769230769230769	9.73670624677336	4.87374334264607	0.00358608508552651	0.00916493006781021	0.00387703709003643	RXRA/PPARG/RXRB	3
BP	GO:0050974	detection of mechanical stimulus involved in sensory perception	3/149	39/18860	0.0769230769230769	9.73670624677336	4.87374334264607	0.00358608508552651	0.00916493006781021	0.00387703709003643	TNF/BACE1/MYC	3
BP	GO:0070670	response to interleukin-4	3/149	39/18860	0.0769230769230769	9.73670624677336	4.87374334264607	0.00358608508552651	0.00916493006781021	0.00387703709003643	IL4/CDK4/HSPA5	3
BP	GO:0071604	transforming growth factor beta production	3/149	39/18860	0.0769230769230769	9.73670624677336	4.87374334264607	0.00358608508552651	0.00916493006781021	0.00387703709003643	PTGS2/HIF1A/COL3A1	3
BP	GO:0016054	organic acid catabolic process	7/149	248/18860	0.0282258064516129	3.57274301796926	3.63939917103877	0.00360836736900004	0.00921054067821584	0.0038963317302501	PON1/NOS2/PPARD/AKT1/PPARA/ADIPOQ/NOS3	7
BP	GO:0046395	carboxylic acid catabolic process	7/149	248/18860	0.0282258064516129	3.57274301796926	3.63939917103877	0.00360836736900004	0.00921054067821584	0.0038963317302501	PON1/NOS2/PPARD/AKT1/PPARA/ADIPOQ/NOS3	7
BP	GO:0045069	regulation of viral genome replication	4/149	80/18860	0.05	6.32885906040268	4.26221544619049	0.00371720239393658	0.00946507758554177	0.00400400838715683	BCL2/TNF/SLPI/CXCL8	4
BP	GO:0072028	nephron morphogenesis	4/149	80/18860	0.05	6.32885906040268	4.26221544619049	0.00371720239393658	0.00946507758554177	0.00400400838715683	BCL2/STAT1/MYC/CTNNB1	4
BP	GO:0140962	multicellular organismal-level chemical homeostasis	4/149	80/18860	0.05	6.32885906040268	4.26221544619049	0.00371720239393658	0.00946507758554177	0.00400400838715683	AKR1B1/KDR/HMOX1/HAS2	4
BP	GO:1904377	positive regulation of protein localization to cell periphery	4/149	80/18860	0.05	6.32885906040268	4.26221544619049	0.00371720239393658	0.00946507758554177	0.00400400838715683	AKT1/TNF/EGFR/IFNG	4
BP	GO:0034765	regulation of monoatomic ion transmembrane transport	8/149	318/18860	0.0251572327044025	3.18433160271833	3.50556323760736	0.00382637514897199	0.00970143793352263	0.00410399582066212	BCL2/BAX/GSTM2/MMP9/CAV1/IFNG/CXCL11/CXCL10	8
BP	GO:0007254	JNK cascade	6/149	188/18860	0.0319148936170213	4.03969727259746	3.73781501405023	0.00383551246454024	0.00970143793352263	0.00410399582066212	TNF/MAPK8/GSTP1/IL1B/APP/XIAP	6
BP	GO:0006909	phagocytosis	7/149	251/18860	0.0278884462151394	3.53004091018476	3.60086509953336	0.00385353455221534	0.00970143793352263	0.00410399582066212	NOS2/LDLR/SOD1/ADIPOQ/STAT3/CCL2/IFNG	7
BP	GO:0006766	vitamin metabolic process	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	TNF/CYP3A4/IFNG	3
BP	GO:0016242	negative regulation of macroautophagy	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	AKT1/HMOX1/TP53	3
BP	GO:0034110	regulation of homotypic cell-cell adhesion	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	PRKCA/IL6/CTNNB1	3
BP	GO:0034390	smooth muscle cell apoptotic process	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	ESR1/PPARG/IFNG	3
BP	GO:0035774	positive regulation of insulin secretion involved in cellular response to glucose stimulus	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	PPARD/BAD/HIF1A	3
BP	GO:0042307	positive regulation of protein import into nucleus	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	HSP90AA1/MAPK14/IFNG	3
BP	GO:0043243	positive regulation of protein-containing complex disassembly	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	ADRB2/TNF/INSR	3
BP	GO:0045124	regulation of bone resorption	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	PRKCA/IL6/SPP1	3
BP	GO:0045730	respiratory burst	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	NCF1/INSR/MPO	3
BP	GO:0072210	metanephric nephron development	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	STAT1/ADIPOQ/CTNNB1	3
BP	GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	3/149	40/18860	0.075	9.49328859060403	4.79843959726166	0.00385462597330203	0.00970143793352263	0.00410399582066212	BAX/GSK3B/BCL2L1	3
BP	GO:0001952	regulation of cell-matrix adhesion	5/149	131/18860	0.0381679389312977	4.8311901224448	3.92659421509967	0.00385957052743995	0.00970143793352263	0.00410399582066212	BCL2/PLAU/KDR/GSK3B/SERPINE1	5
BP	GO:0034767	positive regulation of monoatomic ion transmembrane transport	5/149	131/18860	0.0381679389312977	4.8311901224448	3.92659421509967	0.00385957052743995	0.00970143793352263	0.00410399582066212	BAX/CAV1/IFNG/CXCL11/CXCL10	5
BP	GO:0072089	stem cell proliferation	5/149	131/18860	0.0381679389312977	4.8311901224448	3.92659421509967	0.00385957052743995	0.00970143793352263	0.00410399582066212	KDR/TP53/GJA1/RUNX2/CTNNB1	5
BP	GO:0019062	virion attachment to host cell	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	DPP4/ICAM1	2
BP	GO:0019065	receptor-mediated endocytosis of virus by host cell	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	DPP4/CAV1	2
BP	GO:0032308	positive regulation of prostaglandin secretion	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	IL1B/PTGES	2
BP	GO:0033629	negative regulation of cell adhesion mediated by integrin	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	CYP1B1/SERPINE1	2
BP	GO:0034350	regulation of glial cell apoptotic process	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	PRKCA/CCL2	2
BP	GO:0035112	genitalia morphogenesis	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	AR/CTNNB1	2
BP	GO:0035810	positive regulation of urine volume	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	HAS2/DRD2	2
BP	GO:0044849	estrous cycle	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	HAS2/PCNA	2
BP	GO:0051549	positive regulation of keratinocyte migration	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	HAS2/MMP9	2
BP	GO:0060742	epithelial cell differentiation involved in prostate gland development	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	AR/CTNNB1	2
BP	GO:0070586	cell-cell adhesion involved in gastrulation	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	ADIPOQ/IL10	2
BP	GO:0072182	regulation of nephron tubule epithelial cell differentiation	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	STAT1/CTNNB1	2
BP	GO:0140105	interleukin-10-mediated signaling pathway	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	STAT3/IL10	2
BP	GO:1903898	negative regulation of PERK-mediated unfolded protein response	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	AKT1/HSPA5	2
BP	GO:1904628	cellular response to phorbol 13-acetate 12-myristate	2/149	12/18860	0.166666666666667	21.0961968680089	6.21406552041916	0.00388477998638289	0.00970143793352263	0.00410399582066212	CDK4/FOS	2
BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	5/149	132/18860	0.0378787878787879	4.79459019727476	3.90400271288168	0.00398649199672757	0.00994348424168746	0.00420638858387123	IL4/TNF/IL6/IL1B/IFNG	5
BP	GO:0050830	defense response to Gram-positive bacterium	5/149	132/18860	0.0378787878787879	4.79459019727476	3.90400271288168	0.00398649199672757	0.00994348424168746	0.00420638858387123	NCF1/TNF/IL6/IL1B/APP	5
BP	GO:0031929	TOR signaling	6/149	190/18860	0.0315789473684211	3.99717414341222	3.70527617451828	0.00403847972827915	0.0100671106311785	0.00425868621122001	GSK3B/F7/AKT1/MAPK3/HIF1A/F3	6
BP	GO:0001570	vasculogenesis	4/149	82/18860	0.0487804878048781	6.1744966442953	4.19038892772589	0.00406129016705514	0.0101178992584163	0.00428017130604302	KDR/HAS2/CAV1/CTNNB1	4
BP	GO:0051209	release of sequestered calcium ion into cytosol	5/149	133/18860	0.037593984962406	4.75854064691931	3.88163711346303	0.00411637336305232	0.0102489799620841	0.00433562232925301	BAX/GSTM2/CXCL11/CXCL10/DRD2	5
BP	GO:0050807	regulation of synapse organization	8/149	322/18860	0.0248447204968944	3.14477468839885	3.46403393342457	0.00412393732373343	0.0102616606983013	0.00434098665656151	PRKCA/MAPK14/AKT1/TNF/IL10/CTNNB1/APP/DRD2	8
BP	GO:0016202	regulation of striated muscle tissue development	3/149	41/18860	0.0731707317073171	9.26174496644295	4.72573546046036	0.00413510768583183	0.0102648548830004	0.00434233789137278	BCL2/IGF2/CTNNB1	3
BP	GO:0033028	myeloid cell apoptotic process	3/149	41/18860	0.0731707317073171	9.26174496644295	4.72573546046036	0.00413510768583183	0.0102648548830004	0.00434233789137278	BCL2/ADIPOQ/IL6	3
BP	GO:0034368	protein-lipid complex remodeling	3/149	41/18860	0.0731707317073171	9.26174496644295	4.72573546046036	0.00413510768583183	0.0102648548830004	0.00434233789137278	MTTP/APOB/MPO	3
BP	GO:0034369	plasma lipoprotein particle remodeling	3/149	41/18860	0.0731707317073171	9.26174496644295	4.72573546046036	0.00413510768583183	0.0102648548830004	0.00434233789137278	MTTP/APOB/MPO	3
BP	GO:0006575	modified amino acid metabolic process	6/149	191/18860	0.031413612565445	3.97624653009593	3.68917301216497	0.00414289674430801	0.0102657817297799	0.00434272997503458	GSTP1/GSTM1/GSTM2/SOD1/GSR/NFE2L2	6
BP	GO:0007219	Notch signaling pathway	6/149	191/18860	0.031413612565445	3.97624653009593	3.68917301216497	0.00414289674430801	0.0102657817297799	0.00434272997503458	AKT1/STAT3/NFKBIA/NOS3/IL2RA/APP	6
BP	GO:0050905	neuromuscular process	6/149	191/18860	0.031413612565445	3.97624653009593	3.68917301216497	0.00414289674430801	0.0102657817297799	0.00434272997503458	HSP90AA1/TNF/GSTM2/BACE1/CHUK/DRD2	6
BP	GO:0030593	neutrophil chemotaxis	4/149	83/18860	0.0481927710843374	6.10010511846042	4.15536364242789	0.00424114522577438	0.0105029672764705	0.00444306649205501	DPP4/IL1B/CXCL8/CXCL10	4
BP	GO:0051283	negative regulation of sequestering of calcium ion	5/149	134/18860	0.0373134328358209	4.72302914955424	3.85949329951816	0.00424925237670749	0.0105043691921569	0.00444365954394663	BAX/GSTM2/CXCL11/CXCL10/DRD2	5
BP	GO:0071772	response to BMP	6/149	192/18860	0.03125	3.95553691275168	3.67317881697214	0.00424929936017904	0.0105043691921569	0.00444365954394663	PPARG/KDR/MAPK3/CAV1/RUNX2/XIAP	6
BP	GO:0071773	cellular response to BMP stimulus	6/149	192/18860	0.03125	3.95553691275168	3.67317881697214	0.00424929936017904	0.0105043691921569	0.00444365954394663	PPARG/KDR/MAPK3/CAV1/RUNX2/XIAP	6
BP	GO:0031640	killing of cells of another organism	5/149	135/18860	0.037037037037037	4.68804374844643	3.83756725947716	0.00438516671606831	0.0108273468322424	0.00458028865956444	NCF1/CXCL8/CXCL11/CXCL2/CXCL10	5
BP	GO:0141061	disruption of cell in another organism	5/149	135/18860	0.037037037037037	4.68804374844643	3.83756725947716	0.00438516671606831	0.0108273468322424	0.00458028865956444	NCF1/CXCL8/CXCL11/CXCL2/CXCL10	5
BP	GO:2000027	regulation of animal organ morphogenesis	4/149	84/18860	0.0476190476190476	6.02748481943113	4.12090722944237	0.00442630388709323	0.0109063925153988	0.00461372732665049	AR/TNF/RUNX2/CTNNB1	4
BP	GO:2000142	regulation of DNA-templated transcription initiation	4/149	84/18860	0.0476190476190476	6.02748481943113	4.12090722944237	0.00442630388709323	0.0109063925153988	0.00461372732665049	CDK4/TP53/NFKBIA/MYC	4
BP	GO:0043903	regulation of biological process involved in symbiotic interaction	3/149	42/18860	0.0714285714285714	9.04122722914669	4.65547729344685	0.00442768547579155	0.0109063925153988	0.00461372732665049	PPARA/CAV1/CXCL8	3
